[1.6273732497063035e-7,-6.379113357245767e-7]
[0,0]
[2.9446072088596186e-9,-4.2186497483892804e-10]
[6.312089991553585e-8,-8.530963262006407e-8]
[6.953667560628668e-9,-3.924356098169554e-9]
[2.4465637333300775e-9,3.120293855320286e-9]
[6.186807498928411e-9,-1.0870308672425618e-8]
[3.8266883636785275e-9,6.488208003636059e-9]
[1.4889466477656434e-10,2.3965659621915384e-9]
[1.3568087279989495e-9,-2.6027490679118753e-9]
[6.73514036776015e-8,1.0203521681652762e-6]
[1.651433013924508e-8,-5.058141772294594e-8]
[2.3595618274692527e-9,5.687733372964105e-8]
[6.580029938444026e-7,3.98296970805061e-8]
[-1.260599611072481e-8,5.825132603216842e-8]
[6.3632167306463105e-9,3.017354561127253e-8]
[0,0]
[3.248208125991179e-9,-1.3853056944192761e-8]
[-7.104128544544463e-9,-7.1781461364089784e-9]
[1.4325869305324577e-8,-2.916701236594137e-8]
[-1.5318463772665331e-9,3.0392578515596476e-9]
[4.7773646640535455e-9,-2.4962334602030285e-9]
[-1.670782560588214e-8,-1.6082644371256796e-8]
[-1.914418968912872e-9,3.9577139043238265e-9]
[4.681560114672893e-10,3.10148884241215e-9]
[-1.0906289772010595e-8,-7.922543359029024e-11]
[1.4411964059461794e-7,-5.469821119719473e-7]
[3.446726825255806e-9,1.285438700430538e-9]
[-1.2474710474348033e-9,-2.2128732889548912e-8]
[-1.0085821272886447e-7,7.726802512454858e-8]
[-5.625260153985725e-10,-6.195287203114284e-10]
[-6.112762590008034e-10,-2.7891064514565966e-9]
[-2.2566603342927653e-7,7.3957079981349344e-9]
[8.152902194333004e-8,-9.597640793283488e-8]
[3.5499481406252305e-8,-1.4797715031114621e-7]
[8.486278924134179e-9,-4.035319359726325e-8]
[-1.0294020287357991e-7,-1.2048991479763622e-9]
[7.584447567783198e-10,-5.991294521589732e-9]
[1.3208893662682068e-10,4.820843178968919e-8]
[6.496816954835048e-9,1.787393349302454e-8]
[1.0176767288099216e-8,-3.104571191575883e-8]
[4.64903354927489e-9,-2.76019042553288e-8]
[-1.9278271238374516e-8,2.627975728352882e-8]
[4.5958883413889806e-9,-4.817245753255711e-8]
[-1.4621747845332503e-8,-2.9354972848775206e-8]
[-3.8780568819947195e-11,2.7588111107661356e-9]
[-5.765434548636945e-9,-2.4451592258135e-8]
[6.729146833041045e-11,-2.649755596695933e-8]
[2.2398961224362902e-10,-2.730001149089815e-9]
[8.520068395606114e-10,-5.1168615077532955e-9]
[4.0468266655539477e-7,2.695780320737844e-8]
[5.941243174855489e-9,4.533425461238806e-9]
[1.4827910310233758e-8,-1.1828315964752602e-8]
[-3.1955833312870467e-10,6.5967987822543535e-9]
[9.242495925104755e-9,-3.3009534852811134e-8]
[1.959803673968628e-8,-5.63206962200019e-8]
[0,0]
[2.2056572554058205e-10,2.1125312350552492e-9]
[4.468608349293897e-8,5.3017730807980406e-8]
[-6.0903374500242235e-9,5.967862830142587e-8]
[-2.3283477019054016e-7,-2.6064509149655437e-8]
[3.597051005720741e-8,4.734564715633337e-8]
[-1.1248778438755887e-9,-3.159313621353388e-8]
[2.586698590502956e-9,-3.227784131066422e-9]
[1.6272118009599912e-9,3.7236268597939302e-9]
[-8.355315119214592e-11,-3.6343811468581327e-9]
[2.2081472902759456e-10,-2.8463818783906663e-9]
[9.777447909186919e-9,4.4821221605888764e-8]
[-2.265891108676038e-10,-1.2402473210758582e-9]
[-1.6367208039866466e-8,3.780568249633476e-8]
[0,0]
[-2.6684967460302575e-11,-2.087849625126111e-9]
[-5.442304778099645e-9,-2.550045300046318e-9]
[-6.885691228744814e-8,-1.3813140576884763e-8]
[1.8004084151542487e-7,-2.6161374590781815e-7]
[6.793428941545077e-8,3.6839459890116564e-8]
[4.630697272853487e-9,1.0225765886344464e-8]
